track_name,artist_name,valence,energy
Shakin',Eddie Money,0.946,0.893
As Any Fool Can See,Tracy Lawrence,0.879,0.713
Southern Belle,Scotty McCreery,0.808,0.897
Rum Is The Reason,Toby Keith,0.907,0.719
She Couldn't Change Me,Montgomery Gentry,0.787,0.823
You Wouldn't Know Me,Miranda Lambert,0.708,0.82
I've Been Known,Josh Abbott Band,0.722,0.837
Doing It to Country Songs (feat. The Oak Ridge Boys),Blake Shelton,0.838,0.789
Wastin' gas,Dallas Smith,0.81,0.93
I Told You So,Keith Urban,0.73,0.841
The Hard Way,Turnpike Troubadours,0.842,0.882
Raised On It - Acoustic Mixtape,Sam Hunt,0.896,0.791
All Summer Long,Kid Rock,0.887,0.864
MY POWER,Tierra Whack,0.715,0.86
Stacy's Mom,Fountains Of Wayne,0.925,0.75
Hail to the King,Avenged Sevenfold,0.711,0.887
Mr. Jones,Counting Crows,0.779,0.817
Can't Stop,Red Hot Chili Peppers,0.875,0.938
Dancing in the Moonlight - 2001 Remix,Toploader,0.945,0.842
Wish I Knew You,The Revivalists,0.722,0.716
Start a Riot,Duckwrth,0.89,0.727
Losing My Religion,R.E.M.,0.829,0.849
Dani California,Red Hot Chili Peppers,0.735,0.865
Hero,Skillet,0.782,0.967
My Own Worst Enemy,Lit,0.741,0.946
Down with the Sickness,Disturbed,0.941,0.876
Baby I'm Yours - feat. Irfrane,Breakbot,0.735,0.794
The Anthem,Good Charlotte,0.893,0.939
Dark Red,Steve Lacy,0.775,0.783
Safe And Sound,Capital Cities,0.791,0.821
What You Know,Two Door Cinema Club,0.776,0.741
Walking On A Dream,Empire of the Sun,0.716,0.701
Smooth Criminal,Alien Ant Farm,0.875,0.964
While We're Young,Jhene Aiko,0.791,0.791
Jekyll and Hyde,Five Finger Death Punch,0.715,0.965
Amber,311,0.748,0.727
B.Y.O.B.,System Of A Down,0.716,0.981
Buddy Holly,Weezer,0.829,0.913
Miss Murder,AFI,0.725,0.875
Last Nite,The Strokes,0.797,0.899
Beverly Hills,Weezer,0.741,0.823
Two Princes,Spin Doctors,0.836,0.912
DARE,Gorillaz,0.966,0.891
Lump,The Presidents Of The United States Of America,0.864,0.873
Spoonman,Soundgarden,0.783,0.906
The Kids Aren't Alright,The Offspring,0.788,0.943
In Too Deep,Sum 41,0.802,0.838
Paralyzer,Finger Eleven,0.881,0.941
1901,Phoenix,0.705,0.831
Possum Kingdom,Toadies,0.891,0.708
Give It Away,Red Hot Chili Peppers,0.776,0.936
Father Of Mine,Everclear,0.738,0.94
Walk,Pantera,0.703,0.704
Cowboy,Kid Rock,0.868,0.897
Come with Me Now,KONGOS,0.728,0.726
How to Be a Heartbreaker,MARINA,0.849,0.897
"""99""",Barns Courtney,0.714,0.804
Ocean Man,Ween,0.973,0.912
Never Let You Go - 2008 Version,Third Eye Blind,0.967,0.94
Accidentally In Love,Counting Crows,0.808,0.923
Humility (feat. George Benson),Gorillaz,0.784,0.807
I'm A Believer - Radio Edit,Smash Mouth,0.869,0.967
Pa Olvidarte (feat. Manuel Turizo) - Remix,ChocQuibTown,0.856,0.791
Animals,Nickelback,0.818,0.961
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,0.803,0.893
Silvertongue,Young the Giant,0.841,0.789
Pretty Fly (For A White Guy),The Offspring,0.963,0.901
Give Yourself A Try,The 1975,0.871,0.8
The Distance,Cake,0.888,0.749
Big Yellow Taxi,Counting Crows,0.842,0.866
Beachboy,McCafferty,0.75,0.962
Short Skirt / Long Jacket,Cake,0.881,0.899
Daughter (Remastered),Pearl Jam,0.734,0.702
Heat of the Summer,Young the Giant,0.895,0.856
Love Me,The 1975,0.899,0.803
Die Happy,DREAMERS,0.842,0.873
No Excuses,Alice In Chains,0.721,0.838
Dirty Harry,Gorillaz,0.865,0.877
Du hast,Rammstein,0.716,0.922
Walkin' On The Sun,Smash Mouth,0.968,0.972
